fecha,sensor_id,latitud,longitud,nombre_banda,valor_pixel,crs,resolucion,ancho,alto,nombre_archivo
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,AOT,85,EPSG:32719,"(60.0, 60.0)",166,167,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_AOT.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B01,249,EPSG:32719,"(60.0, 60.0)",166,167,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B01.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B02,361,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B02.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B03,540,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B03.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B04,692,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B04.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B05,894,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B05.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B06,941,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B06.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B07,1073,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B07.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B08,1208,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B08.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B09,1318,EPSG:32719,"(60.0, 60.0)",166,167,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B09.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B11,2360,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B11.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,B12,2054,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_B12.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,SCL,5,EPSG:32719,"(20.0, 20.0)",498,501,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_SCL.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,TCI,71,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif
2025-07-06,eui-a8404173735a97b9,-34.395053,-70.808878,WVP,1065,EPSG:32719,"(10.0, 10.0)",996,1002,2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_WVP.tif
